switchname,ip address,vendor
BNAGOSWTS-G-DeltaMezz,10.127.19.198,cisco
BNAGOSWTS-U-DeltaIs,10.127.19.212,cisco
BNAGOSWTS-A-B146,10.127.19.158,cisco
BNAGOSWTS-C-RymB1,10.127.19.194,cisco
BNAGOSWTS-D-RymB3,10.127.19.195,cisco
BNAGOSWTS-E-RymB5,10.127.19.196,cisco
BNAGOSWTS-F-RymC2,10.127.19.197,cisco
BNAGOSWTS-H-Davidson,10.127.19.200,cisco
BNAGOSWTS-I-RymC1,10.127.19.201,cisco
BNAGOSWTS-J-RymC2,10.127.19.203,cisco
BNAGOSWTS-K-IDFCloset,10.127.19.204,cisco
BNAGOSWTS-L-CIDD,10.127.19.205,cisco
BNAGOSWTS-O-PresLobby,10.127.19.206,cisco
BNAGOSWTS-P-MagMezz,10.127.19.207,cisco
BNAGOSWTS-V-Jackson,10.127.19.213,cisco
BNAGOSWTS-W-MagMezz,10.127.19.214,cisco
BNAGOSWTS-B-RymMeet,10.127.19.159,cisco
BNAGOSWTS-S-TennBall,10.127.19.209,cisco
BNAGOSWTS-T-DeltaBas,10.127.19.211,cisco
BNAGOSWTS-X-DeltaMezz,10.127.19.215,cisco
BNAGOSWTS-Z-EventCtr,10.127.19.217,cisco
BNAGOSWADSSCGround,10.127.19.48,cisco
BNAGOSWGSGDN-L2-1,10.127.19.68,aruba
BNAGOSWGSGDN-L3-3,10.127.19.72,aruba
